__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30616241,2022-06-01T21:41:52.000Z,Johnny Won,"<p>Well the verdict is in and Johnny won all three counts. The world now knows that he was a survivor of domestic violence and Amber Turd was the abuser.</p>
<p>I just hope that we can keep the pressure on the UK court system to really look into the perjury accusations that we all know are true as she lied on stand. Let's not let them sweep this under the carpet and now let's get justice for the UK justice system as we will not allow anyone to get away with perjury.</p>
<p>Amber the narcesist think she is above the law and nothing can touch her. Well let's show her that she isn't above the law.</p>
<p>#justiceservedforjohnny</p>",,,,
StarterPetitionUpdate,30571477,2022-05-19T23:23:01.000Z,Over 250 thank you,"<p>We have got over 250 signatures in just over a day this is brilliant.  If we keep pushing this we should get the people who matter and strive for justice to look into this. And hopefully we can force them to do the right thing and bring charges rather than bursh it under the carpet . </p>
<p>Again I thank you all for your ongoing support </p>",,,,
MilestonePetitionUpdate,30569834,2022-05-19T15:52:13.000Z,,,,,,250.0
MilestonePetitionUpdate,30567885,2022-05-19T03:53:19.000Z,,,,,,200.0
StarterPetitionUpdate,30565965,2022-05-18T18:01:11.000Z,Thank you for helping,"<p>Thank you all for signing and sharing. We need to keep going as we don't want any of the establishments brushing this under the carpet due to pressure from within.</p>
<p>So with all the support we have we can push them to punish this blatant abuse and issue perjury charges.</p>",,,,
MilestonePetitionUpdate,30565841,2022-05-18T17:26:18.000Z,,,,,,100.0
MilestonePetitionUpdate,30565095,2022-05-18T14:38:41.000Z,,,,,,50.0
MilestonePetitionUpdate,30564989,2022-05-18T14:08:22.000Z,,,,,,25.0
MilestonePetitionUpdate,30564445,2022-05-18T11:34:17.000Z,,,,,,10.0
MilestonePetitionUpdate,30564389,2022-05-18T11:13:30.000Z,,,,,,5.0
