__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,29066531,2021-05-17T17:16:31.000Z,1500000.0,,,,,
MilestonePetitionUpdate,27326786,2020-07-19T08:55:04.000Z,1000000.0,,,,,
MilestonePetitionUpdate,27304772,2020-07-16T17:12:38.000Z,750000.0,,,,,
StarterPetitionUpdate,24616628,2019-05-27T00:50:37.000Z,,Perception Is Everything,"<p> </p>
<p>Friends,</p>
<p>We are up against the most powerful corporation on the planet, which is aiding and abetting the government of apartheid Israel in its ethnic cleansing of Palestine. Google has literally erased Palestine from the map.</p>
<p>The importance of this issue cannot be overstated. This is a war of perception. A war for the hearts and minds of the people who, on the basis of misleading propaganda, support Israel either actively or tacitly by failing to speak out against Israel's brutal occupation and ethnic cleansing and apartheid policies.</p>
<p>If a state does not exist on the world's most authoritative maps - and Google maps are now recognised as definitive around the world - then it ceases to exist in public consciousness and public perception.</p>
<p>A place that can't be found on any map ceases to exist *in fact*.</p>
<p>Children around the world are now being taught geography with a map of the Middle East in which no such place as Palestine exists. Instead, the whole of Palestine is designated ""ISRAEL"".</p>
<p>The exclusion of Palestine from Google Maps was a deliberate decision taken by Google (whose founders have close links to the Zionist state) in consultation with the Israeli government. It is the online parallel of the ethnic cleansing and erasure of Palestinian national identity taking place on the ground.</p>
<p>When Jewish ""settlers"" tell Palestinians (whose homes they have taken over) that ""Palestine doesn't exist"", they can support this claim simply by opening Google Maps.</p>
<p>Google representatives have claimed that Palestinian land is delineated by broken lines (without being named) because the borders are ""contested"". But contested by whom? Contested only by Israel. The Israeli occupation of Palestinian land is illegal under international law. By refusing to identify Palestine in its maps, Google has in effect - and in fact - aligned itself with the Israeli government's position and its illegal and unjust policies.</p>
<p>Google is telling Palestinians that they don't exist, that their country doesn't exist - but that the state which occupies their land by military force <em>does</em> exist.</p>
<p>Palestine was clearly delineated on all maps of the Middle East going back hundreds of years. The decision by Google to erase it, and to title the entire country ""Israel"" - an artificial state established <em>in Palestine</em> in 1948 against the will of the Palestinian people - is racist, outrageous and completely unacceptable.</p>
<p>So far we have had no direct response from Google. For the moment we will continue to collect signatures and publish posts and articles drawing attention to the issue.</p>
<p>As of the current date, our petition has been signed by over half a million people. Please help us to get it to a million, by sharing the link to this petition on your Facebook page, or to pro-Palestinian group pages. Or share the link on Twitter, Instagram etc.</p>
<p>When we reach our million signatures target our plan is to put out a press release followed by a major media campaign to highlight this issue and call for Google and Google-related services to be added to the BDS list.</p>
<p>Once again, thank you for your support. Special thanks to Abby Martin for her assistance. Please keep sharing the link to this petition. Also please consider joining our Facebook group, which is at:</p>
<p><a href=""https://www.facebook.com/groups/1694829384126063/"" rel=""nofollow"">https://www.facebook.com/groups/1694829384126063/</a></p>
<p><strong>Zak Martin</strong></p>
<p> </p>","{'id': '222140985', 'petitionMedium': {'url': '//assets.change.org/photos/7/dz/fh/EvdZfhkKuQATTMy-800x450-noPad.jpg?1558919611', 'processing': False}}",,
MilestonePetitionUpdate,24601120,2019-05-23T10:52:32.000Z,500000.0,,,,,
MilestonePetitionUpdate,24552226,2019-05-14T09:15:53.000Z,400000.0,,,,,
StarterPetitionUpdate,17596727,2016-08-18T00:22:37.000Z,,Perception Is Everything,"Friends,

We are up against the most powerful corporation on the planet, which is in league with two of the most powerful governments on the planet.

The importance of this issue cannot be overstated. This is a war of perception. A war for the hearts and minds of the people who, on the basis of misleading propaganda, support Israel either actively or tacitly by failing to speak out against Israel's brutal occupation and ethnic cleansing and apartheid policies.

If a state does not exist on the world's most authoritative maps, then it ceases to exist in public consciousness and public perception.  Eventually, it ceases to exist *in fact*. Children around the world are now being taught geography with a map of the Middle East in which no such place as Palestine exists. Instead, the whole of Palestine is titled ""ISRAEL"". 

Make no mistake, the omission of Palestine from Google Maps is a deliberate act in support of Israel's ongoing ethnic cleansing campaign. It is the online parallel of events taking place on the ground.

Google representatives have claimed that Palestinian land is delineated by broken lines (without being named) because the borders are ""contested"". But contested by whom? Contested only by Israel. The Israeli occupation of Palestinian land is illegal under international law. By refusing to identify Palestine in its maps, Google has in effect - and in fact - aligned itself with the Israeli government's position and its illegal and unjust policies.

Last week our campaign, and the issues it raises, was featured extensively in newspapers and media outlets around the world, including The Guardian, The Huffington Post, The Telegraph, Al Jazeera, India Times, Breitbart, Russia Today, The Jerusalem Post and many others. When Google was asked to comment, a spokesperson responded by pointing out that Palestine had not been deleted from Google Maps, and that in fact it had never been listed in the first place. This is a bit like a man who is accused of beating his wife the previous day arguing that the charge is false because he has actually been beating her for years, but it was Google's idea of a ""denial"". 

This Google statement was a response to a claim made by an individual not connected in any way with this campaign, or with this petition, who had mistakenly stated that Google had recently deleted Palestine from its maps. However, neither I nor anyone connected with this campaign, or this petition, have ever claimed that the omission of Palestine was a recent deletion. 

The aim of this campaign, and the name of this petition, is ""Google: Put Palestine On Your Maps"". Not ""Google: restore Palestine to your maps"". The issue is not whether Palestine was ever included in Google Maps. The issue is that it ought to be included, and there is no excuse for not including it. And if it wasn't included in the past, it should have been. The fact that it wasn't reflects even more badly on Google.

So far we have had no direct response from Google. For the moment we will continue to collect signatures and publish posts and articles drawing attention to the issue. If Google persists in identifying Palestine as Israel in its maps, our next step will be to call for a boycott of Google.

Once again, thank you for your support. Please keep sharing the link to this petition, and/or to the facebook group we have created, which is at:

https://www.facebook.com/groups/1694829384126063/

Zak Martin",,,
MilestonePetitionUpdate,17541551,2016-08-11T13:33:52.000Z,300000.0,,,,,
MilestonePetitionUpdate,17522693,2016-08-09T14:46:35.000Z,200000.0,,,,,
MilestonePetitionUpdate,17514563,2016-08-08T18:15:55.000Z,150000.0,,,,,
