__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,28846786,2021-04-09T08:32:24.000Z,10
MilestonePetitionUpdate,28815970,2021-04-02T23:29:07.000Z,4000
MilestonePetitionUpdate,28796861,2021-03-30T12:23:17.000Z,3000
MilestonePetitionUpdate,28789430,2021-03-29T00:09:36.000Z,2500
MilestonePetitionUpdate,28781731,2021-03-27T06:33:21.000Z,2000
MilestonePetitionUpdate,28772037,2021-03-25T15:44:16.000Z,1500
MilestonePetitionUpdate,28762432,2021-03-24T00:36:09.000Z,1000
MilestonePetitionUpdate,28757146,2021-03-23T05:09:03.000Z,750
MilestonePetitionUpdate,28752474,2021-03-22T12:04:03.000Z,500
MilestonePetitionUpdate,28673582,2021-03-08T17:50:13.000Z,250
MilestonePetitionUpdate,28672253,2021-03-08T13:06:43.000Z,200
MilestonePetitionUpdate,28610833,2021-02-25T12:37:54.000Z,100
MilestonePetitionUpdate,28603193,2021-02-24T05:35:12.000Z,1000
MilestonePetitionUpdate,28602958,2021-02-24T04:14:14.000Z,750
MilestonePetitionUpdate,28602050,2021-02-24T00:23:33.000Z,500
MilestonePetitionUpdate,28602048,2021-02-24T00:23:00.000Z,500
MilestonePetitionUpdate,28591299,2021-02-22T08:35:00.000Z,250
MilestonePetitionUpdate,28591176,2021-02-22T07:50:17.000Z,200
MilestonePetitionUpdate,28590970,2021-02-22T06:25:43.000Z,100
MilestonePetitionUpdate,28589009,2021-02-21T20:21:29.000Z,50
MilestonePetitionUpdate,28584698,2021-02-20T21:18:10.000Z,25
MilestonePetitionUpdate,28584645,2021-02-20T21:07:44.000Z,10
MilestonePetitionUpdate,28584639,2021-02-20T21:06:25.000Z,5
MilestonePetitionUpdate,28584632,2021-02-20T21:05:50.000Z,5
