__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30521085,2022-05-06T15:31:59.000Z,25
MilestonePetitionUpdate,28760417,2021-03-23T18:06:51.000Z,10
MilestonePetitionUpdate,28323329,2021-01-07T19:00:59.000Z,5
