__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30637818,2022-06-08T09:39:26.000Z,We're on a roll!,"<p>Hi, everyone! Yesterday we received more signatures in one day than we have since the petition started! Thank you to all who stepped up for Johnny! We're far from done, though! Spread the word, tell a friend, and consider sharing the link! We're still on track to receive 200 signatures by the end of the week. I feel confident about this one! Thanks again!!!</p>",,,,
StarterPetitionUpdate,30634976,2022-06-07T14:20:21.000Z,Getting closer!,"<p>Hi everyone! Looks like we may hit our first 100 signatures sooner than we thought! Thank you to all of our supporters!!! Can we get to 200 by the end of this week? Share the link, tell a friend! Let's recast Jack Sparrow! Spread the word! :)</p>",,,,
StarterPetitionUpdate,30632582,2022-06-06T21:17:20.000Z,Halfway to our first 100 signatures!,"<p>Hello everyone! Today we reached the halfway point of our first 100 signatures! We have a lot to go but if we all help spread the word people will see it. Here's to reaching 100 by the end of the week! Remember, our end goal is to get this in front of Jerry Bruckheimer and Disney. Thanks for all your help!!! I appreciate you all!!!</p>",,,,
MilestonePetitionUpdate,30631936,2022-06-06T17:41:08.000Z,,,,,,50.0
StarterPetitionUpdate,30627778,2022-06-05T09:38:13.000Z,Gaining traction!,<p>Did you know that it took several weeks for the petition to remove Amber Heard from Aquaman to receive it's first 100 signatures?  We're halfway there after just a couple days! And now that petition has close to 5 million signatures thanks to people like you who are helping to spread the word! Don't forget to share our petition! We're getting closer every day!</p>,,,,
StarterPetitionUpdate,30626101,2022-06-04T17:44:52.000Z,Thank you for your support!,"<p>Hello, everyone! I wanted to send a quick thank you to those that have helped support our petition to recast Jack Sparrow! We don't have many signatures yet but that can change! It always has to start somewhere! If you haven't yet considered sharing the link to our online petition, please do! We're so close to the next level of promotion so that more people are able to view and sign for Johnny. Let's get there! Thanks again for your help and support. Let's get the word out! ;)</p>",,,,
MilestonePetitionUpdate,30623248,2022-06-03T18:50:57.000Z,,,,,,25.0
MilestonePetitionUpdate,30618487,2022-06-02T13:58:59.000Z,,,,,,10.0
MilestonePetitionUpdate,30618023,2022-06-02T11:23:06.000Z,,,,,,5.0
MilestonePetitionUpdate,30617981,2022-06-02T11:08:09.000Z,,,,,,5.0
