__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30645179,2022-06-10T08:16:45.000Z,don't kill the character! recast it with Blake lively,"<p>Don't Kill #Mera in #aquaman2. Just #RecastMera with <a href=""https://twitter.com/blakelively"" target=""_blank"" rel=""nofollow"">@blakelively</a></p>
<p>she is a better actress and person Sign and share the petition: <a href=""https://chng.it/zkpCvYbQjk"" target=""_blank"" rel=""nofollow"">https://chng.it/zkpCvYbQjk</a></p>
<p>#RecastMera #AmberHeardlsALiar #AmberHeardIsAnAbuser #JohnnyDeppGotJustice #AbuseHasNoGender #mentoo</p>","{'id': '226680644', 'petitionMedium': {'url': '//assets.change.org/photos/7/ix/ka/DOIxKaUgkEmNrkB-800x450-noPad.jpg?1654849009', 'processing': False}}",,,
MilestonePetitionUpdate,30621272,2022-06-03T06:14:23.000Z,,,,,,15000.0
StarterPetitionUpdate,30617388,2022-06-02T06:12:57.000Z,The TRUTH WON! GOOD WON OVER EVIL!,"<p><strong>The TRUTH WON! GOOD WON OVER EVIL! </strong>but our battle to remove her from Aquaman 2 and from all what represent domestic abused victims, still continues...</p>
<p>as Adam Waldman posted yesterday in his instagram: “Injustice anywhere is a threat to justice everywhere. We are caught in an inescapable network of mutuality, tied in a single garment of destiny. Whatever affects one directly, affects all indirectly. -<strong>Martin Luther King Jr.</strong>""</p>
<p>so again:</p>
<p>Proven guilty of lies, of abuse, of intention of malice, Amber Heard should be removed from Aquamam 2 and REPLACED with a better actress and person like <strong>Blake Lively</strong><br>Please sign &amp; share <a href=""https://chng.it/7QKLz8GB8y"" target=""_blank"" rel=""nofollow"">https://chng.it/7QKLz8GB8y</a></p>
<p>#AmberHeardlsAnAbuser #AmberHeardlsALiar #justiceforjohhnydepp #AbuseHasNoGender</p>
<p> </p>","{'id': '226661420', 'petitionMedium': {'url': '//assets.change.org/photos/9/zs/wk/qVZSwkBJEJZTjBr-800x450-noPad.jpg?1654150383', 'processing': False}}",,,
MilestonePetitionUpdate,30610667,2022-05-31T12:14:44.000Z,,,,,,12500.0
MilestonePetitionUpdate,30599489,2022-05-27T16:18:01.000Z,,,,,,10000.0
StarterPetitionUpdate,30598147,2022-05-27T07:54:52.000Z,Petition Progress,"<p>Hey you all...</p>
<p>for every who is standing with justice against abusers and liars, this is to tell you we are on the way to reach the 10000 signatures goal!!!</p>
<p>For updates about the johnny depp trial, about the petition updates and media coverage, follow me on twitter: <a href=""https://twitter.com/tharwatalmasri"" target=""_blank"" rel=""nofollow"">https://twitter.com/tharwatalmasri</a></p>
<p>and i will follow back...</p>
<p>Always remember the reason why you signed this petition and remember to share it again on social platforms...</p>
<p>few days and the hopefully the true victim will get the justice he deserves!</p>
<p>#AbuseHasNoGender #justiceforjohhnydepp #AmberHeardlsAnAbuser</p>","{'id': '226647865', 'petitionMedium': {'url': '//assets.change.org/photos/8/up/nj/PlUpNJgJUKAEzNQ-800x450-noPad.jpg?1653638094', 'processing': False}}",,,
MilestonePetitionUpdate,30594956,2022-05-26T15:11:11.000Z,,,,,,9000.0
StarterPetitionUpdate,30593866,2022-05-26T09:17:54.000Z,A Genuine Testimony,"<p>....</p>
<p>On the stand, Depp also answered a question about what it has been like for him to listen to Heard’s testimony during the trial.</p>
<p>“Insane,” he said, “It’s insane to hear heinous accusations of violence, sexual violence … that she’s accusing me of. (It’s) horrible, ridiculous, humiliating, ludicrous, painful, savage, unimaginably brutal, cruel.”</p>
<p>Depp added that “no human being is perfect” and once again denied the allegations.</p>
<p>“I have never in my life committed sexual battery, physical abuse, all these outlandish, outrageous stories of me committing these things,” he said. “And living with it for six years, and waiting to be able to bring the truth out.”</p>
<p>He said that “no matter what happens I did get here and I did tell the truth and I have spoken up for what I’ve been carrying on my back, reluctantly, for six years.”</p>
<p>Source: <a href=""https://usanews.upexampaper.com/actor-retakes-stand-kate-moss-speaks-more-us-news-today/"" target=""_blank"" rel=""nofollow"">USAnews</a></p>","{'id': '226645343', 'petitionMedium': {'url': '//assets.change.org/photos/0/iz/le/xxIzLeoojBDmUnX-800x450-noPad.jpg?1653556676', 'processing': False}}",,,
MilestonePetitionUpdate,30591692,2022-05-25T19:56:13.000Z,,,,,,8000.0
MilestonePetitionUpdate,30589563,2022-05-25T11:27:20.000Z,,,,,,7500.0
MilestonePetitionUpdate,30588477,2022-05-25T02:45:39.000Z,,,,,,7000.0
MilestonePetitionUpdate,30586585,2022-05-24T16:23:18.000Z,,,,,,6000.0
