__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30927856,2022-09-18T10:45:56.000Z,25
MilestonePetitionUpdate,30921666,2022-09-15T22:25:44.000Z,10
MilestonePetitionUpdate,30921646,2022-09-15T22:15:45.000Z,5
