__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30616128,2022-06-01T21:04:07.000Z,200000
MilestonePetitionUpdate,30529324,2022-05-09T05:14:40.000Z,150000
MilestonePetitionUpdate,30501887,2022-05-01T18:25:12.000Z,100000
MilestonePetitionUpdate,30496328,2022-04-29T20:27:54.000Z,75000
MilestonePetitionUpdate,30492136,2022-04-28T20:09:00.000Z,50000
MilestonePetitionUpdate,30490334,2022-04-28T12:52:10.000Z,40000
MilestonePetitionUpdate,30488318,2022-04-27T22:16:19.000Z,35000
MilestonePetitionUpdate,30480537,2022-04-25T23:28:40.000Z,30000
MilestonePetitionUpdate,30463702,2022-04-20T17:42:21.000Z,25000
MilestonePetitionUpdate,28508927,2021-02-07T20:25:32.000Z,20000
MilestonePetitionUpdate,28198563,2020-12-10T15:50:37.000Z,17500
MilestonePetitionUpdate,28170901,2020-12-05T04:01:49.000Z,15000
MilestonePetitionUpdate,28149599,2020-12-01T14:03:12.000Z,12500
MilestonePetitionUpdate,28138098,2020-11-28T23:17:23.000Z,10000
MilestonePetitionUpdate,28137005,2020-11-28T18:24:35.000Z,9000
MilestonePetitionUpdate,28136111,2020-11-28T14:26:48.000Z,8000
MilestonePetitionUpdate,28135702,2020-11-28T12:04:24.000Z,7500
MilestonePetitionUpdate,28134877,2020-11-28T06:19:06.000Z,7000
MilestonePetitionUpdate,28099804,2020-11-21T00:28:35.000Z,6000
MilestonePetitionUpdate,28061742,2020-11-13T11:05:08.000Z,5000
MilestonePetitionUpdate,28045863,2020-11-10T19:55:38.000Z,4000
MilestonePetitionUpdate,28035500,2020-11-09T06:13:16.000Z,3000
MilestonePetitionUpdate,28033749,2020-11-08T22:10:49.000Z,2500
MilestonePetitionUpdate,28032043,2020-11-08T16:44:31.000Z,2000
MilestonePetitionUpdate,28029893,2020-11-08T06:02:32.000Z,1500
MilestonePetitionUpdate,28027584,2020-11-07T19:45:19.000Z,1000
MilestonePetitionUpdate,28025681,2020-11-07T11:45:22.000Z,750
MilestonePetitionUpdate,27336169,2020-07-20T17:03:56.000Z,500
MilestonePetitionUpdate,26000964,2020-03-19T07:35:32.000Z,250
MilestonePetitionUpdate,25938513,2020-03-15T15:28:10.000Z,200
MilestonePetitionUpdate,25906785,2020-03-13T00:43:13.000Z,100
MilestonePetitionUpdate,25902343,2020-03-12T19:34:11.000Z,50
MilestonePetitionUpdate,25854962,2020-03-06T18:54:00.000Z,25
MilestonePetitionUpdate,25828610,2020-03-02T05:16:53.000Z,10
MilestonePetitionUpdate,25826792,2020-03-01T20:06:39.000Z,5
