__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30094294,2022-01-20T19:47:47.000Z,12500
MilestonePetitionUpdate,29400282,2021-07-31T00:31:23.000Z,10000
MilestonePetitionUpdate,29113169,2021-05-26T06:53:03.000Z,9000
MilestonePetitionUpdate,28881977,2021-04-15T08:34:03.000Z,8000
MilestonePetitionUpdate,28680427,2021-03-09T20:47:31.000Z,7500
MilestonePetitionUpdate,28478515,2021-02-03T03:35:44.000Z,7000
MilestonePetitionUpdate,28178184,2020-12-06T22:03:17.000Z,6000
MilestonePetitionUpdate,28060706,2020-11-13T03:38:07.000Z,5000
MilestonePetitionUpdate,28035190,2020-11-09T04:34:19.000Z,4000
MilestonePetitionUpdate,28023017,2020-11-06T21:43:59.000Z,3000
MilestonePetitionUpdate,27929197,2020-10-21T17:21:01.000Z,2500
MilestonePetitionUpdate,27748445,2020-09-18T23:33:03.000Z,2000
MilestonePetitionUpdate,27430109,2020-08-01T16:11:39.000Z,1500
MilestonePetitionUpdate,27151228,2020-06-30T02:04:55.000Z,1000
MilestonePetitionUpdate,27079633,2020-06-23T07:28:27.000Z,750
MilestonePetitionUpdate,26890967,2020-06-08T02:20:30.000Z,500
MilestonePetitionUpdate,26712057,2020-05-23T22:10:32.000Z,250
MilestonePetitionUpdate,26695891,2020-05-21T18:53:21.000Z,200
MilestonePetitionUpdate,26671576,2020-05-19T01:25:22.000Z,100
MilestonePetitionUpdate,26657142,2020-05-17T05:21:56.000Z,50
MilestonePetitionUpdate,26620545,2020-05-13T00:42:30.000Z,25
MilestonePetitionUpdate,26541644,2020-05-03T18:13:22.000Z,10
MilestonePetitionUpdate,26367522,2020-04-16T05:24:54.000Z,5
