__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,24808351,2019-07-10T17:23:01.000Z,3000
MilestonePetitionUpdate,22809849,2018-05-30T09:54:17.000Z,2500
MilestonePetitionUpdate,22464266,2018-03-05T06:26:39.000Z,2000
MilestonePetitionUpdate,22457708,2018-03-03T12:19:31.000Z,1500
MilestonePetitionUpdate,22448936,2018-03-01T10:29:35.000Z,1000
MilestonePetitionUpdate,22447010,2018-02-28T22:12:23.000Z,750
MilestonePetitionUpdate,22446462,2018-02-28T20:03:25.000Z,500
MilestonePetitionUpdate,22446091,2018-02-28T18:33:39.000Z,250
MilestonePetitionUpdate,22446037,2018-02-28T18:20:22.000Z,200
MilestonePetitionUpdate,22445906,2018-02-28T17:46:30.000Z,100
MilestonePetitionUpdate,22445842,2018-02-28T17:32:52.000Z,50
MilestonePetitionUpdate,22445814,2018-02-28T17:24:46.000Z,25
MilestonePetitionUpdate,22445780,2018-02-28T17:17:22.000Z,10
MilestonePetitionUpdate,22445751,2018-02-28T17:10:07.000Z,5
