__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,28674793,2021-03-08T21:38:40.000Z,1000
MilestonePetitionUpdate,28128349,2020-11-26T19:02:52.000Z,750
MilestonePetitionUpdate,28124511,2020-11-26T00:01:48.000Z,500
MilestonePetitionUpdate,28122308,2020-11-25T16:40:18.000Z,250
MilestonePetitionUpdate,28117684,2020-11-24T19:28:09.000Z,200
MilestonePetitionUpdate,28067140,2020-11-14T15:54:30.000Z,100
MilestonePetitionUpdate,28047633,2020-11-11T01:13:03.000Z,50
MilestonePetitionUpdate,28028971,2020-11-08T01:01:05.000Z,25
MilestonePetitionUpdate,28024437,2020-11-07T03:21:07.000Z,10
MilestonePetitionUpdate,28024000,2020-11-07T01:14:21.000Z,5
