__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,30632527,2022-06-06T21:00:01.000Z,100.0,,,,,
StarterPetitionUpdate,30629976,2022-06-06T03:03:08.000Z,,Johnny Depp Supporters...,"<p>Please sign and share this petition to get the UK Sun to retract the ""wife beater"" story that has defamed Johnny and has caused him a great amount of stress and loss of movie roles for years. Amber Heard has been proven to be a liar... all the abuse accusations are false. Let's support Johnny together, we can do this!  <a href=""https://chng.it/8V9rvyvh"" target=""_blank"" rel=""nofollow"">https://chng.it/8V9rvyvh</a></p>","{'id': '226670420', 'petitionMedium': {'url': '//assets.change.org/photos/7/ph/gi/BGPhgIIMmrxQBHY-800x450-noPad.jpg?1654484591', 'processing': False}}",,
MilestonePetitionUpdate,30629856,2022-06-06T01:57:14.000Z,50.0,,,,,
MilestonePetitionUpdate,30626302,2022-06-04T19:08:04.000Z,25.0,,,,,
StarterPetitionUpdate,30625641,2022-06-04T14:46:34.000Z,,Hi everyone... Thanks for signing the petition to support Johnny!!,"<p>Together we can do this... please get your friends to sign and in support of Johnny, share, share, share!! Have a great weekend!</p>
<p>Depp fans united!</p>
<p>Linda C.</p>","{'id': '226667381', 'petitionMedium': {'url': '//assets.change.org/photos/3/ya/re/IPYaReBMerUQfkA-800x450-noPad.jpg?1654353998', 'processing': False}}",,
MilestonePetitionUpdate,30621796,2022-06-03T10:56:42.000Z,10.0,,,,,
MilestonePetitionUpdate,30618271,2022-06-02T12:48:21.000Z,5.0,,,,,
