__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30023040,2022-01-04T05:39:29.000Z,250
MilestonePetitionUpdate,29934888,2021-12-08T00:46:28.000Z,200
MilestonePetitionUpdate,29934882,2021-12-08T00:44:02.000Z,200
MilestonePetitionUpdate,28141227,2020-11-29T19:35:44.000Z,100
MilestonePetitionUpdate,28039568,2020-11-09T21:15:26.000Z,50
MilestonePetitionUpdate,28029130,2020-11-08T01:49:43.000Z,25
MilestonePetitionUpdate,28026078,2020-11-07T13:47:51.000Z,10
MilestonePetitionUpdate,28024733,2020-11-07T05:07:26.000Z,5
