__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30625697,2022-06-04T15:05:14.000Z,2000
MilestonePetitionUpdate,30545431,2022-05-12T23:32:20.000Z,1500
MilestonePetitionUpdate,30508866,2022-05-03T18:03:41.000Z,1000
MilestonePetitionUpdate,30506886,2022-05-03T05:48:17.000Z,750
MilestonePetitionUpdate,30506003,2022-05-02T23:15:19.000Z,500
MilestonePetitionUpdate,30504920,2022-05-02T17:37:14.000Z,250
MilestonePetitionUpdate,30502909,2022-05-02T02:57:27.000Z,200
MilestonePetitionUpdate,29544687,2021-09-01T10:20:47.000Z,100
MilestonePetitionUpdate,28602868,2021-02-24T03:48:07.000Z,50
MilestonePetitionUpdate,28088910,2020-11-19T04:31:41.000Z,25
MilestonePetitionUpdate,25842395,2020-03-04T16:38:32.000Z,10
MilestonePetitionUpdate,25723982,2020-02-09T01:22:57.000Z,5
