__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,30563720,2022-05-18T05:24:57.000Z,100.0,,,,,
MilestonePetitionUpdate,30541279,2022-05-12T00:37:27.000Z,50.0,,,,,
MilestonePetitionUpdate,30527838,2022-05-08T16:20:14.000Z,25.0,,,,,
MilestonePetitionUpdate,30522949,2022-05-07T00:51:30.000Z,10.0,,,,,
MilestonePetitionUpdate,30519177,2022-05-06T03:32:58.000Z,5.0,,,,,
StarterPetitionUpdate,30507417,2022-05-03T10:48:43.000Z,,Amber heard,"<p>I feel sad no one has signed my petition am I the only one serious about consequences and punishments ?Please sign especially if you will never see a movie with Amber heard again </p>
<p>this will also support Johnny Depp </p>
<p>thank you </p>",,,
