__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30701665,2022-06-28T12:56:38.000Z,Damn wow,<p>Over 1100 signatures!!! Thank you </p>,,,,
StarterPetitionUpdate,30690433,2022-06-24T15:39:38.000Z,1002 signatures,"<p>Omg!! This is amazing </p>
<p>Thanks so much guys/girls/everyone!!</p>",,,,
MilestonePetitionUpdate,30690342,2022-06-24T15:17:30.000Z,,,,,,1000.0
StarterPetitionUpdate,30689516,2022-06-24T09:47:49.000Z,So close to 1000,"<p>Omg guys you are amazing .  Just under 1000 signatures to get this evil creature  removed from Twitter!!! I just want to thank you all . </p>
<p>I love you all so much!!!</p>
<p>Lisa . </p>",,,,
StarterPetitionUpdate,30686228,2022-06-23T10:36:53.000Z,884!!,<p>An amazing turn out! Thanks . </p>,,,,
StarterPetitionUpdate,30657638,2022-06-14T09:35:20.000Z,Thanks again,<p>Thanks so much!!!! We need this to go viral .</p>,,,,
StarterPetitionUpdate,30654090,2022-06-13T11:04:05.000Z,Fantastic,"<p>Over 800 signatures!!!</p>
<p>LETS CARRY THIS  ON !!!!</p>
<p>thanks so much everyone!!!</p>",,,,
StarterPetitionUpdate,30651900,2022-06-12T15:45:54.000Z,Almost 800 signatures,"<p>Thanks so much . </p>
<p>Almost 800 signatures now!!!</p>",,,,
StarterPetitionUpdate,30649845,2022-06-11T19:00:08.000Z,Another,"<p>This is not needed..</p>
<p>As we support Johnny this does not mean we need to see tweets such as this </p>","{'id': '226683470', 'petitionMedium': {'url': '//assets.change.org/photos/7/ki/qs/vYKiqsQTiMYTzZL-800x450-noPad.jpg?1654974012', 'processing': False}}",,,
StarterPetitionUpdate,30649842,2022-06-11T18:58:57.000Z,More abusive  tweets,"<p>This is disgusting. </p>
<p>Why post  that we are freaks?! This is proof of her abusive tweets . </p>","{'id': '226683466', 'petitionMedium': {'url': '//assets.change.org/photos/5/wf/qx/kNwfQxugDoFaTye-800x450-noPad.jpg?1654973940', 'processing': False}}",,,
StarterPetitionUpdate,30645362,2022-06-10T09:51:49.000Z,She's still on Twitter!,"<p> </p>
<p>Thanks again for the continued  support!! She is  still  on Twitter, that's terrible .  Why isn't she being banned ? Please continue to share this petition !</p>",,,,
MilestonePetitionUpdate,30642170,2022-06-09T13:03:24.000Z,,,,,,750.0
StarterPetitionUpdate,30635632,2022-06-07T17:56:43.000Z,THANK YOU,"<p>I wish to say thank you for the support I've received for this protest  but it's  clear Twitter  will not  ban this hurtful ""woman"" please keep inviting  your friends/family even your cat or dog can sign !!! �� but all in a seriousness  eve  barlow  needs to stop posting such dribble  and lies!!!! We all know turd  is not a damn victim of dv!</p>",,,,
MilestonePetitionUpdate,30633526,2022-06-07T03:21:16.000Z,,,,,,500.0
MilestonePetitionUpdate,30631914,2022-06-06T17:35:22.000Z,,,,,,250.0
MilestonePetitionUpdate,30631707,2022-06-06T16:33:59.000Z,,,,,,200.0
MilestonePetitionUpdate,30631029,2022-06-06T12:59:37.000Z,,,,,,100.0
MilestonePetitionUpdate,30629975,2022-06-06T03:02:50.000Z,,,,,,50.0
MilestonePetitionUpdate,30629439,2022-06-05T22:22:05.000Z,,,,,,25.0
MilestonePetitionUpdate,30629363,2022-06-05T21:43:19.000Z,,,,,,10.0
MilestonePetitionUpdate,30629308,2022-06-05T21:15:31.000Z,,,,,,5.0
