__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30721737,2022-07-05T04:44:00.000Z,12500
MilestonePetitionUpdate,30631773,2022-06-06T16:51:43.000Z,10000
MilestonePetitionUpdate,30628204,2022-06-05T13:43:23.000Z,9000
MilestonePetitionUpdate,30625418,2022-06-04T13:10:51.000Z,8000
MilestonePetitionUpdate,30623892,2022-06-03T22:33:48.000Z,7500
MilestonePetitionUpdate,30621661,2022-06-03T09:42:34.000Z,7000
MilestonePetitionUpdate,30617197,2022-06-02T03:34:02.000Z,6000
MilestonePetitionUpdate,30615442,2022-06-01T17:31:53.000Z,5000
MilestonePetitionUpdate,30613093,2022-06-01T01:20:02.000Z,4000
MilestonePetitionUpdate,30611514,2022-05-31T16:24:50.000Z,3000
MilestonePetitionUpdate,30610917,2022-05-31T13:30:14.000Z,2500
MilestonePetitionUpdate,30609566,2022-05-31T03:51:54.000Z,2000
MilestonePetitionUpdate,30608953,2022-05-30T23:15:58.000Z,1500
MilestonePetitionUpdate,30599200,2022-05-27T14:44:13.000Z,1000
MilestonePetitionUpdate,30590891,2022-05-25T16:52:43.000Z,750
MilestonePetitionUpdate,30585866,2022-05-24T13:12:10.000Z,500
MilestonePetitionUpdate,30580694,2022-05-23T00:41:04.000Z,250
MilestonePetitionUpdate,30580182,2022-05-22T20:10:25.000Z,200
MilestonePetitionUpdate,30579331,2022-05-22T14:08:17.000Z,100
MilestonePetitionUpdate,30578988,2022-05-22T11:11:50.000Z,50
MilestonePetitionUpdate,30578808,2022-05-22T09:06:51.000Z,25
MilestonePetitionUpdate,30578752,2022-05-22T08:22:03.000Z,10
MilestonePetitionUpdate,30578738,2022-05-22T08:14:09.000Z,5
