__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30625506,2022-06-04T13:50:55.000Z,4000
MilestonePetitionUpdate,30625500,2022-06-04T13:47:24.000Z,4000
MilestonePetitionUpdate,30618885,2022-06-02T15:59:53.000Z,3000
MilestonePetitionUpdate,30616434,2022-06-01T22:40:35.000Z,2500
MilestonePetitionUpdate,30613218,2022-06-01T02:05:09.000Z,2000
MilestonePetitionUpdate,30610567,2022-05-31T11:48:56.000Z,1500
MilestonePetitionUpdate,30609553,2022-05-31T03:45:37.000Z,1000
MilestonePetitionUpdate,30609259,2022-05-31T01:36:05.000Z,750
MilestonePetitionUpdate,30609089,2022-05-31T00:17:41.000Z,500
MilestonePetitionUpdate,30608312,2022-05-30T19:09:13.000Z,250
MilestonePetitionUpdate,30607992,2022-05-30T16:59:59.000Z,200
MilestonePetitionUpdate,30607374,2022-05-30T13:47:27.000Z,100
MilestonePetitionUpdate,30607175,2022-05-30T12:29:39.000Z,50
MilestonePetitionUpdate,30607094,2022-05-30T11:51:07.000Z,25
MilestonePetitionUpdate,30607054,2022-05-30T11:34:37.000Z,10
MilestonePetitionUpdate,30601462,2022-05-28T06:24:23.000Z,5
